customer_id,join_date,loyalty_tier,age,gender,city,email
226,2024-11-21,None,30,M,Klagenfurt,user226@example.com
227,2024-09-23,Platinum,51,F,Bregenz,user227@example.com
228,2025-06-06,None,21,F,Klagenfurt,user228@example.com
229,2024-01-14,Gold,45,M,Salzburg,user229@example.com
230,2025-08-24,Silver,55,F,Vienna,user230@example.com
231,2023-11-18,Gold,48,M,Linz,user231@example.com
232,2024-02-04,Silver,72,F,Vienna,user232@example.com
233,2024-11-29,Silver,44,M,Salzburg,user233@example.com
234,2025-01-27,Silver,22,M,Bregenz,user234@example.com
235,2024-03-11,None,42,M,Bregenz,user235@example.com
236,2023-12-17,Silver,20,M,Graz,user236@example.com
237,2025-07-03,None,50,M,Vienna,user237@example.com
238,2024-03-19,None,21,M,Villach,user238@example.com
239,2024-11-29,Silver,42,M,Villach,user239@example.com
240,2024-12-17,None,37,F,Bregenz,user240@example.com
241,2024-07-23,Gold,51,F,Klagenfurt,user241@example.com
242,2024-11-21,Platinum,43,F,Bregenz,user242@example.com
243,2024-10-07,Gold,22,M,Bregenz,user243@example.com
244,2025-08-05,None,52,F,Bregenz,user244@example.com
245,2024-02-17,None,45,M,Bregenz,user245@example.com
246,2025-02-26,Gold,46,M,Villach,user246@example.com
247,2024-03-13,Silver,26,M,Villach,user247@example.com
248,2024-07-06,Platinum,69,M,Linz,user248@example.com
249,2025-01-24,Platinum,55,F,Linz,user249@example.com
250,2024-04-27,Gold,67,M,Graz,user250@example.com
251,2024-05-09,None,23,M,Bregenz,user251@example.com
252,2025-03-24,None,36,F,Villach,user252@example.com
253,2023-11-13,Gold,61,F,Vienna,user253@example.com
254,2024-08-21,None,74,M,Salzburg,user254@example.com
255,2025-09-20,None,28,M,Graz,user255@example.com
256,2025-09-19,Silver,19,F,Villach,user256@example.com
257,2023-11-13,Gold,64,M,Vienna,user257@example.com
258,2024-02-24,Silver,61,M,Bregenz,user258@example.com
259,2024-04-02,Silver,61,F,Innsbruck,user259@example.com
260,2025-08-04,None,26,M,Bregenz,user260@example.com
261,2025-06-26,Silver,38,M,Linz,user261@example.com
262,2025-06-25,Platinum,41,M,Salzburg,user262@example.com
263,2024-06-17,None,51,M,Villach,user263@example.com
264,2024-01-14,Silver,39,F,Villach,user264@example.com
265,2025-05-23,Gold,20,F,Klagenfurt,user265@example.com
266,2025-02-16,Silver,29,F,Salzburg,user266@example.com
267,2024-12-11,Silver,45,F,Klagenfurt,user267@example.com
268,2025-09-12,Silver,47,F,Salzburg,user268@example.com
269,2025-01-11,None,43,M,Linz,user269@example.com
270,2023-09-26,None,65,M,Klagenfurt,user270@example.com
271,2025-05-11,Gold,38,M,Vienna,user271@example.com
272,2024-04-27,Gold,45,M,Klagenfurt,user272@example.com
273,2025-01-18,Gold,73,M,Graz,user273@example.com
274,2025-08-08,Gold,43,F,Vienna,user274@example.com
275,2023-12-28,Silver,50,F,Graz,user275@example.com
276,2023-12-14,Silver,38,F,Bregenz,user276@example.com
277,2023-12-08,Gold,52,M,Salzburg,user277@example.com
278,2024-10-29,Silver,69,F,Vienna,user278@example.com
279,2024-04-07,Silver,51,M,Salzburg,user279@example.com
280,2024-12-06,Gold,58,F,Bregenz,user280@example.com
281,2025-02-27,Gold,68,M,Innsbruck,user281@example.com
282,2024-02-17,None,64,M,Villach,user282@example.com
283,2024-12-28,None,35,M,Salzburg,user283@example.com
284,2024-04-01,None,28,M,Bregenz,user284@example.com
285,2024-09-12,Silver,74,M,Salzburg,user285@example.com
286,2025-07-14,None,40,M,Bregenz,user286@example.com
287,2025-06-01,Silver,65,M,Graz,user287@example.com
288,2023-11-27,Silver,39,M,Bregenz,user288@example.com
289,2024-07-27,None,34,M,Klagenfurt,user289@example.com
290,2024-04-10,Silver,22,F,Innsbruck,user290@example.com
291,2023-09-23,None,61,F,Salzburg,user291@example.com
292,2025-04-07,None,28,M,Bregenz,user292@example.com
293,2024-12-30,Gold,47,F,Bregenz,user293@example.com
294,2024-03-30,None,32,F,Salzburg,user294@example.com
295,2025-03-16,None,44,M,Villach,user295@example.com
296,2024-10-28,Silver,52,M,Innsbruck,user296@example.com
297,2024-07-30,Gold,50,M,Innsbruck,user297@example.com
298,2023-09-28,None,37,F,Bregenz,user298@example.com
299,2023-11-15,Silver,33,F,Vienna,user299@example.com
300,2025-06-28,None,51,F,Graz,user300@example.com
301,2025-07-13,None,19,F,Innsbruck,user301@example.com
302,2024-10-24,Silver,52,F,Innsbruck,user302@example.com
303,2025-05-23,Silver,57,F,Linz,user303@example.com
304,2024-11-20,Silver,73,M,Klagenfurt,user304@example.com
305,2024-01-07,Silver,45,M,Innsbruck,user305@example.com
306,2023-12-23,Platinum,64,F,Graz,user306@example.com
307,2024-05-03,Silver,56,F,Klagenfurt,user307@example.com
308,2025-07-10,None,23,F,Klagenfurt,user308@example.com
309,2025-04-25,Gold,26,F,Salzburg,user309@example.com
310,2025-06-12,None,37,M,Salzburg,user310@example.com
311,2025-07-10,Silver,18,F,Salzburg,user311@example.com
312,2024-02-21,None,25,F,Salzburg,user312@example.com
313,2024-03-21,None,72,F,Linz,user313@example.com
314,2023-12-05,Platinum,40,F,Innsbruck,user314@example.com
315,2025-04-14,Gold,20,M,Salzburg,user315@example.com
316,2025-06-29,Silver,21,M,Bregenz,user316@example.com
317,2024-07-14,Silver,42,M,Vienna,user317@example.com
318,2024-12-18,None,64,F,Salzburg,user318@example.com
319,2024-01-12,None,55,M,Innsbruck,user319@example.com
320,2025-08-01,None,32,M,Salzburg,user320@example.com
321,2025-06-14,Silver,38,M,Linz,user321@example.com
322,2025-09-04,Silver,52,F,Graz,user322@example.com
323,2025-05-06,Silver,74,F,Graz,user323@example.com
324,2025-06-27,None,70,M,Innsbruck,user324@example.com
325,2023-10-09,Platinum,70,M,Bregenz,user325@example.com
326,2025-03-13,Silver,63,F,Graz,user326@example.com
327,2024-05-21,Silver,69,F,Villach,user327@example.com
328,2025-08-02,Silver,31,F,Graz,user328@example.com
329,2025-04-30,Silver,53,M,Vienna,user329@example.com
330,2025-06-14,None,29,F,Innsbruck,user330@example.com
331,2025-05-06,None,34,M,Bregenz,user331@example.com
332,2024-04-03,Gold,56,F,Innsbruck,user332@example.com
333,2025-04-19,None,26,M,Graz,user333@example.com
334,2023-12-09,None,52,M,Graz,user334@example.com
335,2025-06-20,None,30,F,Graz,user335@example.com
336,2025-06-10,None,32,M,Klagenfurt,user336@example.com
337,2024-03-01,Gold,35,F,Linz,user337@example.com
338,2025-05-10,Silver,68,M,Salzburg,user338@example.com
339,2024-08-22,Silver,50,M,Villach,user339@example.com
340,2024-05-01,None,23,F,Linz,user340@example.com
341,2025-04-25,Silver,44,M,Innsbruck,user341@example.com
342,2024-03-05,Silver,40,M,Villach,user342@example.com
343,2023-10-08,None,44,F,Vienna,user343@example.com
344,2024-02-09,Silver,51,M,Salzburg,user344@example.com
345,2024-05-18,None,73,M,Vienna,user345@example.com
346,2025-06-14,Silver,63,M,Bregenz,user346@example.com
347,2025-08-28,Silver,55,F,Klagenfurt,user347@example.com
348,2024-04-12,None,31,F,Innsbruck,user348@example.com
349,2025-01-02,None,53,F,Klagenfurt,user349@example.com
350,2024-07-09,Silver,70,M,Innsbruck,user350@example.com
351,2025-09-08,Silver,25,F,Vienna,user351@example.com
352,2024-10-17,Gold,52,M,Vienna,user352@example.com
353,2025-08-08,Silver,36,F,Vienna,user353@example.com
354,2023-12-14,None,47,M,Innsbruck,user354@example.com
355,2025-08-31,None,31,F,Graz,user355@example.com
356,2024-01-29,Silver,37,F,Vienna,user356@example.com
357,2025-08-25,None,66,F,Klagenfurt,user357@example.com
358,2024-04-02,Silver,42,F,Bregenz,user358@example.com
359,2023-12-09,Gold,57,M,Salzburg,user359@example.com
360,2024-08-04,Silver,41,M,Innsbruck,user360@example.com
361,2025-03-07,None,31,M,Villach,user361@example.com
362,2024-05-07,Silver,43,M,Klagenfurt,user362@example.com
363,2024-12-07,Silver,55,M,Linz,user363@example.com
364,2024-09-29,Silver,40,M,Bregenz,user364@example.com
365,2024-06-28,Gold,39,M,Linz,user365@example.com
366,2024-11-16,None,65,M,Salzburg,user366@example.com
367,2024-03-25,Platinum,74,F,Graz,user367@example.com
368,2025-02-20,Gold,36,M,Vienna,user368@example.com
369,2023-09-22,None,63,F,Innsbruck,user369@example.com
370,2025-07-29,None,68,M,Klagenfurt,user370@example.com
371,2024-10-19,None,20,M,Villach,user371@example.com
372,2025-02-28,None,59,F,Vienna,user372@example.com
373,2025-03-17,None,36,F,Klagenfurt,user373@example.com
374,2025-01-23,Silver,26,M,Innsbruck,user374@example.com
375,2024-06-13,None,45,M,Linz,user375@example.com
376,2023-11-11,None,37,F,Vienna,user376@example.com
377,2025-01-19,Gold,62,M,Salzburg,user377@example.com
378,2024-05-19,None,24,M,Graz,user378@example.com
379,2024-05-07,Gold,31,F,Salzburg,user379@example.com
380,2025-06-02,None,26,M,Graz,user380@example.com
381,2025-02-28,None,72,M,Bregenz,user381@example.com
382,2024-04-27,Silver,74,F,Klagenfurt,user382@example.com
383,2024-05-04,Silver,36,M,Vienna,user383@example.com
384,2024-07-15,Gold,64,M,Vienna,user384@example.com
385,2024-07-11,Silver,69,F,Bregenz,user385@example.com
386,2024-04-24,Gold,31,F,Graz,user386@example.com
387,2023-12-23,None,73,F,Linz,user387@example.com
388,2024-07-24,None,55,M,Innsbruck,user388@example.com
389,2025-08-09,Gold,70,M,Salzburg,user389@example.com
390,2025-01-28,Gold,53,M,Bregenz,user390@example.com
391,2025-07-12,Platinum,57,M,Villach,user391@example.com
392,2024-12-14,Silver,34,M,Villach,user392@example.com
393,2024-04-28,None,47,F,Klagenfurt,user393@example.com
394,2024-10-26,Gold,26,F,Bregenz,user394@example.com
395,2023-09-21,None,50,F,Salzburg,user395@example.com
396,2024-04-18,Gold,73,F,Salzburg,user396@example.com
397,2024-07-31,Gold,69,M,Klagenfurt,user397@example.com
398,2024-11-18,Silver,42,M,Klagenfurt,user398@example.com
399,2025-01-12,Gold,31,F,Vienna,user399@example.com
400,2024-08-26,Gold,28,M,Salzburg,user400@example.com
401,2024-08-09,None,70,M,Innsbruck,user401@example.com
402,2024-02-24,Gold,52,F,Villach,user402@example.com
403,2024-09-01,Silver,58,F,Innsbruck,user403@example.com
404,2025-07-11,Gold,31,F,Graz,user404@example.com
405,2025-04-25,None,47,F,Bregenz,user405@example.com
406,2024-01-23,Gold,58,M,Klagenfurt,user406@example.com
407,2023-11-22,None,21,F,Vienna,user407@example.com
408,2024-10-02,None,21,F,Innsbruck,user408@example.com
409,2024-12-27,Gold,45,M,Linz,user409@example.com
410,2024-05-23,None,25,M,Villach,user410@example.com
411,2025-05-12,None,19,F,Vienna,user411@example.com
412,2025-03-23,Platinum,58,F,Vienna,user412@example.com
413,2025-01-25,Platinum,63,F,Innsbruck,user413@example.com
414,2024-03-03,Silver,39,F,Linz,user414@example.com
415,2024-02-13,Silver,58,F,Graz,user415@example.com
416,2023-10-08,Silver,73,M,Innsbruck,user416@example.com
417,2024-03-18,None,72,F,Linz,user417@example.com
418,2024-09-02,None,33,F,Vienna,user418@example.com
419,2025-06-04,Silver,46,M,Villach,user419@example.com
420,2023-11-13,Gold,66,F,Linz,user420@example.com
421,2024-07-20,Gold,65,F,Vienna,user421@example.com
422,2024-12-24,Gold,47,F,Bregenz,user422@example.com
423,2024-02-10,None,29,M,Innsbruck,user423@example.com
424,2025-02-11,Silver,52,F,Klagenfurt,user424@example.com
425,2024-09-16,None,28,M,Innsbruck,user425@example.com
426,2024-03-17,Silver,63,M,Bregenz,user426@example.com
427,2025-01-13,Silver,67,F,Salzburg,user427@example.com
428,2023-09-25,Gold,38,M,Salzburg,user428@example.com
429,2025-03-23,None,38,F,Salzburg,user429@example.com
430,2025-04-06,None,22,F,Innsbruck,user430@example.com
431,2023-12-08,None,65,M,Graz,user431@example.com
432,2024-07-28,Gold,37,M,Innsbruck,user432@example.com
433,2024-01-27,Silver,54,M,Villach,user433@example.com
434,2025-08-22,None,20,F,Bregenz,user434@example.com
435,2024-10-04,None,61,F,Villach,user435@example.com
436,2023-10-27,Silver,50,M,Bregenz,user436@example.com
437,2024-03-21,None,70,F,Klagenfurt,user437@example.com
438,2025-06-02,Gold,26,F,Linz,user438@example.com
439,2024-08-20,Silver,26,F,Innsbruck,user439@example.com
440,2025-04-29,None,21,F,Innsbruck,user440@example.com
441,2025-01-21,None,52,M,Vienna,user441@example.com
442,2025-09-13,Platinum,34,F,Bregenz,user442@example.com
443,2024-11-29,None,51,M,Vienna,user443@example.com
444,2025-08-16,None,41,F,Vienna,user444@example.com
445,2025-07-04,Gold,49,M,Innsbruck,user445@example.com
446,2024-12-12,Gold,18,F,Graz,user446@example.com
447,2025-02-28,Platinum,25,F,Linz,user447@example.com
448,2024-09-24,Gold,62,F,Linz,user448@example.com
449,2025-05-20,None,40,F,Villach,user449@example.com
450,2024-10-26,None,64,M,Bregenz,user450@example.com
451,2025-07-08,Gold,57,Other,Klagenfurt,user451@example.com
452,2025-03-18,Silver,29,M,Bregenz,user452@example.com
453,2024-09-02,Silver,71,F,Graz,user453@example.com
454,2024-03-28,Gold,29,F,Graz,user454@example.com
455,2024-03-19,None,63,F,Linz,user455@example.com
456,2024-12-30,Silver,64,M,Salzburg,user456@example.com
457,2025-04-03,None,32,M,Vienna,user457@example.com
458,2024-10-06,Silver,58,M,Vienna,user458@example.com
459,2024-12-22,None,36,F,Linz,user459@example.com
460,2024-04-09,None,43,M,Bregenz,user460@example.com
461,2023-11-16,None,69,F,Graz,user461@example.com
462,2024-04-17,Silver,46,M,Bregenz,user462@example.com
463,2024-04-06,Silver,39,M,Klagenfurt,user463@example.com
464,2024-05-12,Silver,57,M,Salzburg,user464@example.com
465,2024-10-20,Platinum,38,M,Linz,user465@example.com
466,2023-12-31,None,68,F,Vienna,user466@example.com
467,2024-03-08,None,55,M,Innsbruck,user467@example.com
468,2025-02-09,Gold,37,F,Bregenz,user468@example.com
469,2025-02-19,None,74,M,Graz,user469@example.com
470,2023-11-07,Platinum,46,F,Innsbruck,user470@example.com
471,2024-07-15,None,68,F,Klagenfurt,user471@example.com
472,2024-10-22,Platinum,21,M,Linz,user472@example.com
473,2024-07-21,None,72,M,Bregenz,user473@example.com
474,2024-02-19,Gold,24,M,Vienna,user474@example.com
475,2024-07-24,Silver,45,F,Bregenz,user475@example.com
476,2025-07-14,Platinum,45,M,Salzburg,user476@example.com
477,2024-11-21,None,21,F,Villach,user477@example.com
478,2025-02-11,Silver,39,M,Innsbruck,user478@example.com
479,2025-06-09,Platinum,29,F,Salzburg,user479@example.com
480,2025-04-03,Silver,62,M,Klagenfurt,user480@example.com
481,2024-06-25,Silver,20,M,Vienna,user481@example.com
482,2023-09-25,Silver,39,M,Innsbruck,user482@example.com
483,2024-06-04,Silver,61,F,Klagenfurt,user483@example.com
484,2025-03-25,Silver,19,F,Salzburg,user484@example.com
